Nome,Adquirido,Avaliação,Data Final,Data Inicio,Dificuldade,Platform,Release,Status,Trofeus
Alan Wake 2,Sim,⭐️⭐️⭐️,03/01/2025,26/12/2024,Normal,PS5,2023,Cancelado,19/67 - 28%
Uncharted - Drake’s Fortune,Sim,⭐️⭐️⭐️⭐️⭐️,,,,PS4,2007,Não iniciada,
Uncharted - Among Thieves,Sim,⭐️⭐️⭐️⭐️,,,,PS4,2009,Não iniciada,
Uncharted  - Drake’s Deception,Sim,⭐️⭐️⭐️⭐️⭐️,,,,PS4,2011,Não iniciada,
Uncharted - Thief’s End,Sim,⭐️⭐️⭐️⭐️⭐️,31/01/2025,01/01/2025,,PS5,2016,Concluído,12/52 - 17%
God of War,Sim,⭐️⭐️⭐️⭐️⭐️,,,,PS4,2018,Não iniciada,
God of War Ragnorok,Sim,⭐️⭐️⭐️⭐️⭐️,31/01/2025,01/01/2025,,PS5,2022,Concluído,
Spider-Man Remastered,Sim,⭐️⭐️⭐️⭐️⭐️,31/01/2025,01/01/2025,Very Hard,PS5,2018,Concluído,51/51 - 100%
Spide-Man 2,Sim,,,,,PS5,2023,Não iniciada,
Indiana Jones e o Grande Circulo,Sim,⭐️⭐️⭐️,20/09/2025,01/08/2025,,PS5,2025,Concluído,
The Last of Us Part 1,Sim,⭐️⭐️⭐️⭐️⭐️,,,,PS5,2022,Não iniciada,
The Last of Us Part 2,Sim,⭐️⭐️⭐️⭐️,15/05/2025,01/05/2025,,PS5,2024,Concluído,
Cyberpunk 2077,Sim,⭐️⭐️⭐️⭐️,28/09/2025,21/09/2025,Normal,PS5,2022,Concluído,
Ghost of Tsushima,Sim,⭐️⭐️⭐️⭐️,12/05/2025,01/04/2025,Normal,PS5,,Concluído,
Uncharted: The Lost Legacy,Sim,⭐️⭐️⭐️⭐️,09/06/2025,06/06/2025,Normal,PS5,,Concluído,13/49 - 21%
Mario Wonder,Sim,⭐️⭐️⭐️⭐️⭐️,28/09/2025,07/09/2025,Normal,Switch 2,,Concluído,
Zelda - Breath of the wild,Sim,⭐️⭐️⭐️⭐️⭐️,17/10/2025,07/09/2025,,Switch 2,,Concluído,
Ghost of Yotei,Sim,⭐️⭐️⭐️⭐️⭐️,20/11/2025,02/11/2025,Normal,PS5,2025,Concluído,45/54 - 87%
Star Wars: Outlaws,Sim,⭐️⭐️⭐️,31/01/2026,19/12/2025,Normal,PS5,,Concluído,
A Ascensão do Ronin,Sim,,,,,PS5,2022,Não iniciada,
Farming Simulator 25,Sim,,,,,PS5,2023,Não iniciada,
Helldiver II,Sim,,,,,PS5,2022,Não iniciada,
Astro Bot,Sim,,,,,PS5,2023,Não iniciada,
Death Stranding 2,Sim,,,,,PS5,2025,Não iniciada,
Assassins Creed Shadows,Sim,,,,,PS5,2025,Não iniciada,
Zelda: Tear of the Kindgom,Sim,,,,,Switch 2,2021,Não iniciada,
Mario Galaxy,Sim,,,,,Switch 2,2025,Não iniciada,
Mario Galaxy 2,Sim,,,,,Switch 2,2025,Não iniciada,
Zelda: Link's Awakening,Sim,,,,,Switch 2,2020,Não iniciada,
The Witcher 3,Sim,,,,,PS5,2020,Não iniciada,
F1 2025,Sim,,,,,PS5,2021,Não iniciada,
Kingdom Come Deliverence II,Sim,,,,,PS5,2023,Não iniciada,
ARC Rider,Sim,,,,,PS5,2025,Não iniciada,
Days Gone,Sim,,,,,PS5,2024,Não iniciada,
Battlefield 6,Sim,,,,,PS5,2025,Não iniciada,